Data,Hora,Latitude,Longitude
14/04/2023,16:26:19,-22.977988,-43.231802
14/04/2023,16:26:29,-22.977984,-43.2318
14/04/2023,16:26:39,-22.977985,-43.23181
14/04/2023,16:26:49,-22.977992,-43.231811
14/04/2023,16:26:59,-22.978,-43.23182
14/04/2023,16:27:09,-22.977991,-43.231806
14/04/2023,16:27:19,-22.977992,-43.231809
14/04/2023,16:27:29,-22.977996,-43.231815
14/04/2023,16:27:39,-22.977997,-43.231816
14/04/2023,16:27:49,-22.977992,-43.231812
14/04/2023,16:27:59,-22.977985,-43.231796
14/04/2023,16:28:09,-22.977988,-43.231808
14/04/2023,16:28:19,-22.977987,-43.231809
14/04/2023,16:28:29,-22.97799,-43.231804
14/04/2023,16:28:40,-22.977994,-43.23181
14/04/2023,16:28:49,-22.977985,-43.231815
14/04/2023,16:29:00,-22.977992,-43.231809
14/04/2023,16:29:10,-22.977995,-43.231818
14/04/2023,16:29:20,-22.977985,-43.231811
14/04/2023,16:29:30,-22.97797,-43.231803
14/04/2023,16:29:41,-22.977983,-43.231795
14/04/2023,16:29:51,-22.977994,-43.231809
14/04/2023,16:30:01,-22.977985,-43.231796
14/04/2023,16:30:11,-22.977995,-43.23181
14/04/2023,16:30:21,-22.977987,-43.231802
14/04/2023,16:30:31,-22.977985,-43.231806
14/04/2023,16:30:41,-22.97799,-43.231803
14/04/2023,16:30:51,-22.977976,-43.2318
14/04/2023,16:31:01,-22.977985,-43.231802
14/04/2023,16:31:11,-22.977991,-43.2318
14/04/2023,16:31:21,-22.977987,-43.231796
14/04/2023,16:31:31,-22.977986,-43.231801
14/04/2023,16:31:43,-22.977985,-43.231803
14/04/2023,16:31:53,-22.977987,-43.231805
14/04/2023,16:32:03,-22.977998,-43.231816
14/04/2023,16:32:13,-22.977998,-43.231814
14/04/2023,16:32:23,-22.977997,-43.231817
14/04/2023,16:32:33,-22.977998,-43.231816
14/04/2023,16:32:43,-22.977995,-43.231814
14/04/2023,16:32:53,-22.977996,-43.231814
14/04/2023,16:33:03,-22.977995,-43.231812
14/04/2023,16:33:13,-22.977999,-43.231812
14/04/2023,16:33:23,-22.977988,-43.231814
14/04/2023,16:33:34,-22.977988,-43.231814
14/04/2023,16:33:44,-22.977995,-43.231811
14/04/2023,16:33:54,-22.977982,-43.231809
14/04/2023,16:34:04,-22.977979,-43.23181
14/04/2023,16:34:14,-22.977974,-43.231812
14/04/2023,16:34:24,-22.977981,-43.231807
14/04/2023,16:34:34,-22.977985,-43.231801
14/04/2023,16:34:44,-22.977985,-43.231811
14/04/2023,16:34:54,-22.977988,-43.231815
14/04/2023,16:35:04,-22.978002,-43.231811
14/04/2023,16:35:14,-22.977993,-43.231809
14/04/2023,16:35:24,-22.977993,-43.231813
14/04/2023,16:35:34,-22.977994,-43.231817
14/04/2023,16:35:54,-22.977987,-43.231812
14/04/2023,16:36:04,-22.977987,-43.231817
14/04/2023,16:36:14,-22.977995,-43.231812
14/04/2023,16:36:24,-22.977985,-43.231818
14/04/2023,16:49:17,-22.977991,-43.231807
14/04/2023,17:05:01,-22.978003,-43.231813
14/04/2023,17:10:42,-22.977964,-43.231798
14/04/2023,17:10:53,-22.977983,-43.23181
14/04/2023,17:11:03,-22.977991,-43.231793
14/04/2023,17:11:13,-22.977966,-43.231782
14/04/2023,17:11:23,-22.977974,-43.231786
14/04/2023,17:11:33,-22.977982,-43.231792
14/04/2023,17:12:18,-22.977982,-43.231792
14/04/2023,17:12:44,-22.977966,-43.231795
14/04/2023,17:12:58,-22.977961,-43.231789
14/04/2023,17:13:19,-22.97797,-43.231794
14/04/2023,17:13:29,-22.977962,-43.23179
14/04/2023,17:21:45,-22.977996,-43.231812
14/04/2023,17:21:55,-22.977981,-43.231809
14/04/2023,17:22:05,-22.97798,-43.231807
14/04/2023,17:22:15,-22.977986,-43.231814
14/04/2023,17:22:25,-22.977988,-43.231815
14/04/2023,17:22:35,-22.978005,-43.231819
14/04/2023,17:22:45,-22.977981,-43.231798
14/04/2023,17:22:55,-22.977983,-43.231818
14/04/2023,17:23:05,-22.977983,-43.231819
14/04/2023,17:23:15,-22.977978,-43.231805
14/04/2023,17:23:25,-22.977988,-43.231806
14/04/2023,17:23:35,-22.977992,-43.231812
14/04/2023,17:23:46,-22.977981,-43.231801
14/04/2023,17:23:55,-22.977981,-43.231809
14/04/2023,17:24:06,-22.977997,-43.231805
14/04/2023,17:24:16,-22.977984,-43.231808
14/04/2023,17:24:26,-22.97797,-43.231805
14/04/2023,17:24:38,-22.977989,-43.231804
14/04/2023,17:24:56,-22.977994,-43.231805
14/04/2023,17:25:11,-22.97798,-43.231807
14/04/2023,17:25:21,-22.977986,-43.231802
14/04/2023,17:25:31,-22.977987,-43.231794
14/04/2023,17:25:41,-22.977988,-43.231805
14/04/2023,17:25:51,-22.977989,-43.231798
14/04/2023,17:26:01,-22.977866,-43.231722
14/04/2023,17:26:11,-22.977996,-43.231826
14/04/2023,17:26:21,-22.97799,-43.231798
14/04/2023,17:26:31,-22.978,-43.231812
14/04/2023,17:26:47,-22.977967,-43.231804
14/04/2023,17:27:01,-22.977987,-43.23181
14/04/2023,17:27:11,-22.977974,-43.231801
14/04/2023,17:27:21,-22.97797,-43.231797
14/04/2023,17:27:31,-22.977986,-43.231799
14/04/2023,17:27:41,-22.977967,-43.231793
14/04/2023,17:27:51,-22.977979,-43.231798
14/04/2023,17:28:01,-22.977979,-43.231794
14/04/2023,17:28:11,-22.977971,-43.231798
14/04/2023,17:28:21,-22.977964,-43.231795
14/04/2023,17:28:32,-22.977991,-43.23181
14/04/2023,17:28:42,-22.977997,-43.231809
14/04/2023,17:28:52,-22.978006,-43.231818
14/04/2023,17:29:02,-22.978008,-43.231822
14/04/2023,17:29:12,-22.978002,-43.231817
14/04/2023,17:29:22,-22.977998,-43.231814
14/04/2023,17:29:32,-22.977992,-43.231816
14/04/2023,17:29:42,-22.978005,-43.23182
14/04/2023,17:29:52,-22.978004,-43.231817
14/04/2023,17:30:02,-22.978004,-43.231816
14/04/2023,17:30:12,-22.978005,-43.231818
14/04/2023,17:30:22,-22.978,-43.231816
14/04/2023,17:30:32,-22.978001,-43.231817
