Data/Hora,"Lat, Long",Latitude,Longitude
27/04/2023 13:16:19,"-22.980882,-43.235352",-22.980882,-43.235352
27/04/2023 13:16:29,"-22.980881,-43.235354",-22.980881,-43.235354
27/04/2023 13:16:39,"-22.980878,-43.235352",-22.980878,-43.235352
27/04/2023 13:16:49,"-22.980879,-43.235349",-22.980879,-43.235349
27/04/2023 13:16:59,"-22.980879,-43.235349",-22.980879,-43.235349
27/04/2023 13:17:09,"-22.980882,-43.235352",-22.980882,-43.235352
27/04/2023 13:17:19,"-22.980890,-43.235349",-22.98089,-43.235349
27/04/2023 13:17:29,"-22.980885,-43.235353",-22.980885,-43.235353
27/04/2023 13:17:39,"-22.980888,-43.235350",-22.980888,-43.23535
27/04/2023 13:17:49,"-22.980885,-43.235350",-22.980885,-43.23535
27/04/2023 13:17:59,"-22.980879,-43.235356",-22.980879,-43.235356
27/04/2023 13:18:09,"-22.980888,-43.235352",-22.980888,-43.235352
27/04/2023 13:18:19,"-22.980889,-43.235348",-22.980889,-43.235348
27/04/2023 13:18:29,"-22.980887,-43.235345",-22.980887,-43.235345
27/04/2023 13:18:39,"-22.980875,-43.235355",-22.980875,-43.235355
27/04/2023 13:18:58,"-22.980878,-43.235350",-22.980878,-43.23535
27/04/2023 13:19:09,"-22.980871,-43.235336",-22.980871,-43.235336
27/04/2023 13:19:19,"-22.980801,-43.235327",-22.980801,-43.235327
27/04/2023 13:19:19,"-22.980801,-43.235327",-22.980801,-43.235327
27/04/2023 13:19:25,"-22.980874,-43.235352",-22.980874,-43.235352
27/04/2023 13:19:29,"-22.980889,-43.235348",-22.980889,-43.235348
27/04/2023 13:19:39,"-22.980885,-43.235349",-22.980885,-43.235349
27/04/2023 13:19:49,"-22.980884,-43.235348",-22.980884,-43.235348
27/04/2023 13:19:55,"-22.980803,-43.235336",-22.980803,-43.235336
27/04/2023 13:20:00,"-22.980808,-43.235324",-22.980808,-43.235324
27/04/2023 13:20:10,"-22.980870,-43.235356",-22.98087,-43.235356
27/04/2023 13:20:10,"-22.980870,-43.235356",-22.98087,-43.235356
27/04/2023 13:20:20,"-22.980871,-43.235343",-22.980871,-43.235343
